participant,trial,condition,garmin_start_s,notes
p2,001,5km/h_0%, 120, walking baseline
p2,002,10km/h_0%,330,
p2,003,12km/h_0%,537,
p2,004,12km/h_5%,710,
p2,005,10km/h_5%,870,
p2,006,12km/h_10%,1065,
p2,007,8km/h_10%,1358,
p2,008,10km/h_10%,1582,
p2,009,8km/h_0%,1812,
p2,010,8km/h_5%,2085,
p1,001,5km/h_0%,460, walking baseline
p1,002,12km/h_0%,935,
p1,003,12km/h_10%,1172,
p1,004,12km/h_5%,1420,
p1,005,8km/h_10%,1832,
p1,006,10km/h_0%,2070,
p1,007,8km/h_5%,2330,
p1,008,10km/h_10%,2539,
p1,009,10km/h_5%,2751,
p1,010,8km/h_0%,2962,
p3,001,5km/h_0%,92, walking baseline
p3,002,8km/h_0%,270,
p3,003,12km/h_10%,467,
p3,004,10km/h_10%,622,
p3,005,12km/h_5%,791,
p3,006,10km/h_5%,950,
p3,007,12km/h_0%,1110,
p3,008,8km/h_5%,1284,
p3,009,8km/h_10%,1413,
p3,010,10km/h_0%,1562,
p4,001,5km/h_0%,17, walking baseline
p4,002,8km/h_0%,230,
p4,003,12km/h_10%,445,
p4,004,12km/h_5%,664,
p4,005,8km/h_10%,884,
p4,006,12km/h_0%,1033,
p4,007,10km/h_5%,1395,
p4,008,10km/h_0%,1723,
p4,009,8km/h_5%,1909,
p4,010,10km/h_10%,2135,
